Date, Open, High, Low, Close
02/12/90, 2619.14, 2652.48, 2610.59, 2619.14
02/09/90, 2648.20, 2666.67, 2628.15, 2648.20
02/08/90, 2644.37, 2674.32, 2622.30, 2644.37
02/07/90, 2640.09, 2651.35, 2579.28, 2640.09
02/06/90, 2606.31, 2629.50, 2588.29, 2606.31
02/05/90, 2622.52, 2633.56, 2592.12, 2622.52
02/02/90, 2602.70, 2623.65, 2577.03, 2602.70
02/01/90, 2586.26, 2611.49, 2571.85, 2586.26
01/31/90, 2590.54, 2600.90, 2546.85, 2590.54
01/30/90, 2543.24, 2576.13, 2513.06, 2543.24
01/29/90, 2553.38, 2583.56, 2522.97, 2553.38
01/26/90, 2559.23, 2591.67, 2516.89, 2559.23
01/25/90, 2561.04, 2628.83, 2546.17, 2561.04
01/24/90, 2604.50, 2619.59, 2534.23, 2604.50
01/23/90, 2615.32, 2639.64, 2584.01, 2615.32
01/22/90, 2600.45, 2683.33, 2595.27, 2600.45
01/19/90, 2677.90, 2696.89, 2657.85, 2677.90
01/18/90, 2666.38, 2678.11, 2625.85, 2666.38
01/17/90, 2659.13, 2711.39, 2643.77, 2659.13
01/16/90, 2692.62, 2698.38, 2634.17, 2692.62
01/15/90, 2669.37, 2692.41, 2666.17, 2669.37
01/12/90, 2689.21, 2735.92, 2675.98, 2689.21
01/11/90, 2760.67, 2774.74, 2751.07, 2760.67
01/10/90, 2750.64, 2772.82, 2725.47, 2750.64
01/09/90, 2766.00, 2810.79, 2760.03, 2766.00
01/08/90, 2794.37, 2803.97, 2753.41, 2794.37
01/05/90, 2773.25, 2810.15, 2758.11, 2773.25
01/04/90, 2796.08, 2821.46, 2766.42, 2796.08
01/03/90, 2809.73, 2834.04, 2786.26, 2809.73
01/02/90, 2810.15, 2811.65, 2732.51, 2810.15
